,Alg,Run,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,f1,f2,f3,Nvars
0,NSGAII,1,8,32,43,45,33,43,19,45,0.1767542017691411,0.13597234229906913,0.1853547861338532,0.18557147415487116,0.1396301000251981,0.16504857837702586,0.0006986262050124854,0.010969891035828919,-1.180455719933783,0.4798817968011634,-0.2483044409624244,16.0
0,NSGAII,1,8,32,20,45,33,43,20,45,0.05401443490717247,0.15195046037573265,0.16608633230302478,0.1232683948810483,0.1605136236144721,0.19547476789308355,0.1357532262164295,0.012938759809036672,-1.1294607260451668,0.4272625094538064,-0.3438199312077409,16.0
0,NSGAII,1,8,32,20,45,20,43,20,45,0.03003414317066228,0.16300185696756345,0.16909903031634937,0.15020880026683148,0.134621434547044,0.1979371667565717,0.14199751432388227,0.013100053651095518,-1.097508755253142,0.406699964680166,-0.39650390902244326,16.0
0,NSGAII,1,8,32,20,41,22,45,14,45,0.1955766888148827,0.14165146330875275,0.16108017684277287,0.11053037957419304,0.1235217349867602,0.18002028663066755,0.07460114707394734,0.01301812276802361,-1.0869000098818813,0.3136738283746424,-0.33544783821388957,16.0
0,NSGAII,1,8,32,20,45,33,43,20,45,0.193916083602296,0.12141846610586049,0.15338464297183746,0.20593645186691237,0.12948199104194438,0.1831426428384853,0.0005808773701096263,0.012138844202554377,-1.156725172535358,0.4068804451263396,-0.28827126063204583,16.0
0,NSGAII,1,6,32,20,45,20,43,13,45,0.08062742411724344,0.16399159946393646,0.16472183227703474,0.10272754365966766,0.1373946943730435,0.20218635729927378,0.13496381514822678,0.01338673366157362,-1.0490905544732838,0.7052915941358937,-0.42843432327847747,16.0
0,NSGAII,1,8,32,20,45,20,43,13,6,0.056589281003831926,0.12864255780368045,0.21197044462536027,0.14480308712325018,0.12987175060964987,0.1904365956105007,0.12390384086987107,0.013782442353855413,-1.0556868394351373,0.5364864077677838,-0.4246382222548384,16.0
0,NSGAII,1,8,32,20,45,33,45,20,45,0.07347708880704676,0.18165689639343227,0.19537132806286256,0.14257907281999574,0.1609474748765415,0.23001366042871407,0.0007295391618704079,0.015224939449536786,-1.1347388246569903,0.36743907688486305,-0.2946392621983865,16.0
0,NSGAII,1,8,32,20,41,20,43,20,45,0.07827153659040163,0.15294969460372465,0.21251258972822473,0.0962225039909077,0.1304215844029199,0.18938326449807572,0.12641747071021509,0.013821355475530551,-1.0816739325961868,0.4381552887540159,-0.4069264509432587,16.0
0,NSGAII,1,8,32,22,43,22,45,20,46,0.1804907886826665,0.13090029085063995,0.1864606576528428,0.10088053320112106,0.11595105652962276,0.1658570499311768,0.10740850655081517,0.012051116601114914,-1.1148890040130364,0.26163244917080003,-0.2580758899870295,16.0
0,NSGAII,1,8,32,43,45,33,45,20,45,0.16661863112632286,0.12816802261943577,0.17256401387719744,0.12250884503542252,0.13112223972205073,0.15559763740581045,0.11220671600623382,0.011213894207526283,-1.1613941605006104,0.36962974668645754,-0.2771830272099361,16.0
0,NSGAII,1,8,32,22,43,22,45,19,46,0.1806746850478304,0.13103366102350042,0.18665063652898767,0.10098331719085751,0.1160691953996911,0.16602603644202185,0.1075179416864614,0.011044526680649598,-1.1239957536902117,0.2631622095330655,-0.22417248240543608,16.0
0,NSGAII,1,8,32,20,45,33,43,20,45,0.05470253978025068,0.14156890879776612,0.18002284973087912,0.24170129558116524,0.1519690404760979,0.2151097753970091,0.0006817579484180403,0.014243832288413739,-1.1502413462044339,0.41229209729652977,-0.31022980434285824,16.0
0,NSGAII,1,8,32,20,45,33,43,20,45,0.18413786251164982,0.13105581003294534,0.14320301584325454,0.1063178045176677,0.13844145593307827,0.16859864390308554,0.11708585141754002,0.01115955584077869,-1.1386450965246702,0.4445442529302709,-0.3187940424561158,16.0
0,NSGAII,1,8,32,20,45,20,43,20,45,0.07428102121508971,0.14642641293830447,0.1964287138484537,0.19714298078937062,0.12418814933686342,0.1771412290705634,0.07262191213411354,0.011769580667241056,-1.1073286039475143,0.38425932949924735,-0.38283514586184375,16.0
0,NSGAII,1,8,32,20,41,20,43,20,45,0.07943229142283101,0.15613480399984264,0.2100881093894826,0.21081453170498052,0.13280039918707892,0.18941939358268006,0.008724688420508463,0.012585782292595804,-1.085939541076877,0.39854073106685284,-0.40232022095719683,16.0
0,NSGAII,1,8,32,20,45,20,43,13,6,0.0592928813788992,0.13478856392636104,0.2220603506790264,0.15172117609191563,0.1360764824498568,0.19937265267691948,0.08344227432138648,0.01324561847563493,-1.0722860715554936,0.49641750281618524,-0.4185387460051971,16.0
0,NSGAII,1,8,32,18,45,33,45,19,45,0.19463034617673644,0.15007252933813728,0.13023493150751358,0.20395481453070788,0.12409933208257035,0.18331843700533967,0.0004788367216771322,0.013210772637317753,-1.1528061879077447,0.28877280232957375,-0.20363999355149487,16.0
0,NSGAII,1,8,32,43,45,33,43,20,45,0.16615649644861402,0.1265358328785624,0.13092766653088728,0.17445531641329454,0.13126593616638835,0.15506962950769462,0.10442473644011274,0.011164385614445986,-1.1659005811227974,0.4548483681118085,-0.2771371991018423,16.0
0,NSGAII,1,8,32,20,45,33,45,20,45,0.07972895479512239,0.1504425972659878,0.16180046344854912,0.14372583456222945,0.13329169783561626,0.1904901667295236,0.12791146357045888,0.012608821792512602,-1.119017700526584,0.3517298216431489,-0.3285043879805718,16.0
0,NSGAII,1,8,32,20,45,20,45,20,43,0.03481150496876807,0.16382309799752634,0.1667197404213597,0.12291339391756298,0.14044022366747813,0.1990806938251784,0.15904363179274994,0.013167713409376417,-1.079468121830962,0.33074443292448996,-0.36270298688039354,16.0
